# Recorded retrieval quality. A number may rise freely; lowering one is a
# reviewed change that says why. Cost is reported by the scorecard and
# deliberately not recorded here — a floor that rose because responses grew
# would be a gate rewarding waste.
#
# Refresh deliberately, never to make a red build green:
#   RETRIEVAL_BASELINE=write cargo run -p kmp-testkit --bin retrieval_kmp_scorecard
metric	floor
cases	35
recall_at_1	0.8428
recall_at_5	0.9428
recall_at_10	0.9428
mean_reciprocal_rank	0.9071
ndcg_at_10	0.9160
answer_core_precision	0.8857
